env;gen;rep;NDM;PH;GY
E14;G01;1;104;38;1318
E14;G01;2;99;37;2380
E14;G01;3;99;34;1925
E01;G02;1;115;77;3800
E01;G02;2;115;80;3800
E01;G02;3;115;76;4000
E02;G02;1;179;97;2881
E02;G02;2;182;94;2834
E02;G02;3;176;92;2895
E03;G02;1;131;45;2574
E03;G02;2;132;64;NA
E03;G02;3;128;44;1236
E04;G02;1;111;77;3800
E04;G02;2;111;81;3960
E04;G02;3;111;77;4000
E05;G02;1;NA;144;209
E05;G02;2;NA;135;209
E05;G02;3;NA;118;507
E06;G02;1;104;50;1322
E06;G02;2;106;60;1772
E06;G02;3;104;49;2068
E07;G02;1;104;46;3408
E07;G02;2;104;48;3208
E07;G02;3;104;48;2964
E08;G02;1;118;30;1146
E08;G02;2;111;31;802
E08;G02;3;127;34;1528
E09;G02;1;101;37;2106
E09;G02;2;102;31;1890
E09;G02;3;101;32;1920
E10;G02;1;112;41;970
E10;G02;2;112;44;1000
E10;G02;3;112;47;880
E11;G02;1;103;30;1102
E11;G02;2;103;60;1084
E11;G02;3;103;60;1060
E12;G02;1;93;48;800
E12;G02;2;91;46;600
E12;G02;3;97;42;304
E13;G02;1;181;65;2053
E13;G02;2;175;77;2115
E13;G02;3;177;90;2314
E14;G02;1;106;44;1031
E14;G02;2;115;47;2091
E14;G02;3;115;44;1673
E08;G03;1;118;32;1334
E08;G03;2;111;32;1070
E08;G03;3;111;31;478
E09;G03;1;94;46;1666
E09;G03;2;97;44;1942
E09;G03;3;97;47;1786
E10;G03;1;112;45;1240
E10;G03;2;112;48;1370
E10;G03;3;112;57;1200
E11;G03;1;82;60;1714
E11;G03;2;82;60;1184
E11;G03;3;82;30;144
E12;G03;1;98;75;1050
E12;G03;2;98;70;986
E12;G03;3;98;72;234
E13;G03;1;175;106;1678
E13;G03;2;171;84;2369
E13;G03;3;171;98;2290
E14;G03;1;98;59;1594
E14;G03;2;96;52;1383
E14;G03;3;96;61;2278
E15;G03;1;81;38;2200
E15;G03;2;87;34;1900
E15;G03;3;NA;36;1600
E08;G04;1;113;33;1610
E08;G04;2;113;31;2066
E08;G04;3;113;32;1546
E09;G04;1;101;32;2484
E09;G04;2;102;26;2192
